Produit,Utilisateur,Date,Fiabilité,score,content
Samsung,bodineau,Commenté en France le 7 mai 2020,Achat vérifié,5.0,Tres bon produit.  Monsieur est ravi
Samsung,Natch,Commenté en France le 7 mai 2020,Achat vérifié,5.0,"Je savais que Samsung était une valeur sûre pour un téléphone. J'ai choisi de prendre le A10 car selon moi il possède un excellent rapport qualité-prix. Je l'ai pris pour une personne qui n'avait pas besoin de jouer avec ou d'avoir de grande performances sur le taux de rafraîchissement. Il me fallait juste un portable confortable, solide, avec un belle ecran et capable de stocké un peu de photos. Pas besoin d'avoir un appareil photo professionnel dessus, juste ce qu'il faut pour montrer des photos a des amis.Si c'est ce que vous recherchez, n'hésitez pas. Mais c'est selon les besoins de chacun."
Samsung,steph,Commenté en France le 5 mai 2020,Achat vérifié,5.0,Super reçu rapidement smartphone au top
Samsung,Lequeuvre  maryse,Commenté en France le 2 mai 2020,Achat vérifié,3.0,Pour  téléphoner  autonomie pas conforme  à la description  32 heures  tiens pas la charge 1 journée max
Samsung,sylvie decaro,Commenté en France le 2 mai 2020,Achat vérifié,3.0,"Envoie rapide et efficace, aucun soucis pour le livreur, très sympathique et professionnel mais déçu lorsque j'ai ouvert le carton, la boîte qui contient mon téléphone était bien abîmé, alors que le carton d'emballage ""Amazon"" n'était pas du tout abîmé, photo ci joint."
Samsung,Client d'Amazon,Commenté en France le 2 mai 2020, ? ,5.0,Merci très bien vite arrivé
Samsung,VALLEE NOEL,Commenté en France le 1 mai 2020,Achat vérifié,5.0,"bonjour , je viens d'acheter ce portable , excellent produit , facile d'utilisation pour une personne comme moi cela était très important , précédemment détenteur d'un wiko , l'expression peu paraitre inappropriée mais je suis passé de l'ancien temps au modernisme . Je le recommande chaleureusement , en plus excellent rapport qualité /prix"
Samsung,Cynthia cycy,Commenté en France le 30 avril 2020,Achat vérifié,4.0,Très bon
Samsung,Jamin,Commenté en France le 30 avril 2020,Achat vérifié,1.0,"2 Téléphones portable qui ont été reçu le 7 février 2020, nous sommes actuellement le 30 avril, et le téléphone de mon conjoint ne fonctionne plus!L'écran ne s'allume plus...  impossible de trouver le contact du vendeur pour avoir possibilité de lui retourner, de plus j'attends l'appel d'Amazon.Téléphone trop cher pour le temps qu'il dure.Je veux l'échanger!"
Samsung,MLC39,Commenté en France le 29 avril 2020,Achat vérifié,5.0,C'était pour offrir. La personne a été ravie de son téléphone.
Samsung,Client d'Amazon,Commenté en France le 29 avril 2020,Achat vérifié,4.0,Bon téléphone qualité  prix  correct  à recommander qu
Samsung,bolt_crank,Commenté en France le 26 avril 2020, ? ,5.0,"Un rapport qualité prix imbattable. Grand écran. Dans cette gamme de prix ce téléphone est, je pense, ce qui se fait de mieux. J'ai eut au paravent des Samsung plus cher. Et bien franchement.  Plus jamais je ne dépenserai d'avantage pour un smartphone.  Ce Galaxy A10 fait tout et le fait bien."
Samsung,Client d'Amazon,Commenté en France le 25 avril 2020,Achat vérifié,4.0,Bon téléphone pour ado
Samsung,Phoenix62,Commenté en France le 25 avril 2020,Achat vérifié,5.0,"Produit abordabe au niveau prix, fonctionne super bien tres fluide , batterie tiens lontemps meme en usage intensif ."
Samsung,sylvie souvignet,Commenté en France le 25 avril 2020,Achat vérifié,5.0,Pour utilisation personnelle
Samsung,Philippe 21,Commenté en France le 24 avril 2020,Achat vérifié,5.0,Très surpris d'être livré en 5 jours
Samsung,Client d'Amazon,Commenté en France le 23 avril 2020,Achat vérifié,5.0,je l attend en francais
Samsung,Sirandou SOUKOUNA,Commenté en France le 22 avril 2020,Achat vérifié,4.0,top
Samsung,Diango🇲🇱,Commenté en France le 19 avril 2020,Achat vérifié,5.0,Article est très propre
Samsung,rodrigues maria,Commenté en France le 18 avril 2020, ? ,4.0,c'est superrrrr
Samsung,flore,Commenté en France le 18 avril 2020,Achat vérifié,1.0,"Ce téléphone ne capte pas le réseau Wifi bien qu'il soit parfaitement paramétré.Wi-Fi et Bluetooth sont activés mais impossible de passer ou recevoir des appels.Pareil pour les sms qui tournent en boucle avec 3 barres de co.D'autres acheteurs ont-ils le même problème ?Si pas de solution, je vais retourner l'appareil.Merci."
Samsung,Moi,Commenté en France le 18 avril 2020,Achat vérifié,5.0,Besoin d un téléphone et je connais bien lla marque
Samsung,Maxence Fourmeaux,Commenté en France le 17 avril 2020,Achat vérifié,5.0,Bonne qualite tres bon telephone arrive 1 jour a l avance tres bon rapport qualite prix je recomande ! 😊
Samsung,Megan Goussin,Commenté en France le 16 avril 2020,Achat vérifié,5.0,"Téléphone reconditionné,  en parfait état,  arrivé 1 jour en avance , très contente de mon achat."
Samsung,Client d'Amazon,Commenté en France le 16 avril 2020,Achat vérifié,5.0,Très fiable !
Samsung,jolivet,Commenté en France le 15 avril 2020,Achat vérifié,5.0,Super
Samsung,Moussaoui jennifer,Commenté en France le 15 avril 2020,Achat vérifié,5.0,Bon article. Très satisfaite. Arrivé en avance !!
Samsung,Marc dodemont,Commenté en France le 14 avril 2020,Achat vérifié,5.0,Le gsm samsung Galaxy a10  j'ai  reçu
Samsung,Kamikaze,Commenté en France le 14 avril 2020,Achat vérifié,5.0,Bon produit pour usage quotidien; appel et réception de massages. RAS
Samsung,Maryloune34,Commenté en France le 13 avril 2020,Achat vérifié,1.0,"Voilà quelques moi que j'utilise ce telephone et j'en suis extremement déçue,il beug sans cesse et depuis le debut,obligé de l'eteindre et de le rallumer au moins une à 2 fois par jour minimum car gros soucis avec internet alors que je n'ai pas changé de forfait ou de réseau...bref je ne le recommande pas du tout"
Samsung,Client d'Amazon,Commenté en France le 13 avril 2020,Achat vérifié,4.0,"Très bon écran. Appareil photo bon, sans plus. Certaines applications encombrantes ne peuvent pas être supprimées. Un système de déverrouillage par empreinte digitales (le mieux c'est derrière le smartphone) manque beaucoup. Fonction téléphone bonne (c'est important !). Samsung ne respecte pas les icônes en leur donnant une forme arrondie ; c'est un détail. Pas de gyroscope. Radio FM très appréciable (le nom des stations ne s'affiche pas).Bon appareil. Je le recommande. Excellent téléphone de secours (c'est mon cas)."
Samsung,Didier H.,Commenté en France le 12 avril 2020,Achat vérifié,4.0,"Bonjour , très bon produit et livré rapidement"
Samsung,TRAMZAL,Commenté en France le 12 avril 2020,Achat vérifié,1.0,Comment peut on vendre des Téléphones en France non compatible en Français.J ai renvoyé ce téléphone aussitôt après l’avoir reçu.Maintenant à voir si le remboursement sera aussi rapide???
Samsung,Amie,Commenté en France le 12 avril 2020,Achat vérifié,5.0,Très  très  contente  d'avoir reçu mon  portable
Samsung,LACHEZE,Commenté en France le 11 avril 2020,Achat vérifié,5.0,fonct correctement pas de probleme
Samsung,Client Kindle,Commenté en France le 10 avril 2020,Achat vérifié,4.0,Bonne prise en main !
Samsung,Espoir,Commenté en France le 10 avril 2020,Achat vérifié,5.0,Reçu avant l'heureMerci mon fils est contentIl suffit qu'il le prenne en main avec le temps et tout ira bienOn attend la coque de protection
Samsung,Client d'Amazon,Commenté en France le 9 avril 2020,Achat vérifié,4.0,correcte
Samsung,Padois,Commenté en France le 9 avril 2020,Achat vérifié,5.0,Très bon produit rien à redire
Samsung,Annette Guibert,Commenté en France le 9 avril 2020,Achat vérifié,5.0,Très bon produit une carte sd offerte parfait !
Samsung,Mraba sahida ,Commenté en France le 7 avril 2020,Achat vérifié,5.0,"Super téléphone, fonctionne parfaitement en plus reçu en avance c'est super 😊"
Samsung,Client d'Amazon,Commenté en France le 7 avril 2020,Achat vérifié,5.0,Encore un samsung que j’achète depuis des années et toujours aussi satisfait; je recommande
Samsung,Client,Commenté en France le 6 avril 2020, ? ,1.0,"Aucune possibilité d'avoir une notification lumineuse discrète avec cet A10En ""mode accessibilité"" il est possible d'activer la fonction ""flash qui clignote"" à l'arrivée d'un message (mais c'est loin d'être discret et c'est sur le dos de l'appareil)Quant à la fonction ""écran qui clignote"", impossible de la tester, elle ne fonctionne pas (... pourtant l'A10 est absolument à jour)Quant aux applications tierces de notification lumineuse ... plutôt consommatrices et pas forcément plus discrètesIl manque donc encore une fois une diode LED à un smartphone, et pourtant une LED ne consomme rien du tout, reste discrète, et reste active tant que l'on a pas lu le message, pendant 5h s'il le faut ... et une LED coûte combien ... 0.5 centime d'euro ?Pourquoi encore une fois M Samsung n'y a t'il pas de diode LED sur vos smartphones ?Ce Samsung A10 est destiné à une personne malentendante hospitalisée ... pensez à eux la prochaine fois, merci"
Samsung,arouasalim,Commenté en France le 6 avril 2020,Achat vérifié,5.0,Satisfait
Samsung,Clech Isabelle,Commenté en France le 6 avril 2020,Achat vérifié,5.0,Très satisfait de ce portable.
Samsung,zoulika sahraoui,Commenté en France le 6 avril 2020,Achat vérifié,5.0,Donc je met 5 étoiles je connais déjà ce produit car j ai le même et celui là c est pour mon fils donc je verrai avec le temps si il va durer je reviendrai vers vous pour vous en dire plus car le mien je l ai achèter j ai C.discont en novembre et il fonctionne toujour aussi bien Samsung est une bonne marque et pas trop chers je l ai acheté aux même prix.Merci Amazon
Samsung,Mebarek,Commenté en France le 5 avril 2020,Achat vérifié,5.0,Impeccable !
Samsung,melinard,Commenté en France le 4 avril 2020,Achat vérifié,5.0,Très bien
Samsung,Lau,Commenté en France le 4 avril 2020,Achat vérifié,5.0,Très bien reçu dans les temps aussi bien qu’un appareil acheter chez un opérateur
Samsung,Annie Lenormand,Commenté en France le 4 avril 2020,Achat vérifié,5.0,"Je l'ai acheté en bleu dans un magasin mais le portable est très bien, il est facile à manier et surtout pas très cher pour un ""grand"" portable."
Samsung,laurent_g,Commenté en France le 3 avril 2020,Achat vérifié,5.0,"Livraison très rapide et conforme à la demande, facture obtenue très rapidement et garantie de 2 ans sur le téléphone."
Samsung,Poullard Lydie,Commenté en France le 3 avril 2020,Achat vérifié,5.0,Très bien pour le prix ma petite fille est au anges
Samsung,Aki-Akot,Commenté en France le 3 avril 2020,Achat vérifié,5.0,"Bien recu , suis content ! A recommender !"
Samsung,salmon sebastien,Commenté en France le 3 avril 2020,Achat vérifié,5.0,tres bon produit et bien fini
Samsung,Gchris13,Commenté en France le 2 avril 2020,Achat vérifié,5.0,"Pour le moment, je suis très contente. Nous verrons avec le temps. Rien à redire. Je suis habituée aux Samsung. Il ne me déçoit pas."
Samsung,jerome jeremiasch,Commenté en France le 2 avril 2020,Achat vérifié,3.0,"Fonctionne difficilement au niveau tactile,  retour page précédent"
Samsung,HeathJake33,Commenté en France le 1 avril 2020,Achat vérifié,5.0,Pour remplacer mon portable momentanément hors service
Samsung,vidaljo,Commenté en France le 1 avril 2020,Achat vérifié,5.0,Parfait
Samsung,Cliente habituelle Samsung,Commenté en France le 31 mars 2020,Achat vérifié,1.0,"Très déçue... l'écran tactile ne fonctionne pas. Étiquettes de scellé facilement décollables (probablement déjà décollées). Retour obligé dès réception, après 12 jours de délai de livraison."
Samsung,dylan torrens,Commenté en France le 30 mars 2020,Achat vérifié,5.0,A PRÉSENTER A MES AMIS
Samsung,angie,Commenté en France le 29 mars 2020,Achat vérifié,5.0,même pour une personne qui n'a pas la fibre technique
Samsung,fafa,Commenté en France le 28 mars 2020,Achat vérifié,5.0,Produit neuf et authentique !Très bonne communication du vendeur !A+++Merci pour votre sérieux !!!
Samsung,Rach,Commenté en France le 28 mars 2020,Achat vérifié,3.0,"Bonjour,Arrivé plus tôt que prévu,tres jolie esthétiquement,asser simple au demarage, le processeur est un peu lent quand meme.Mai bon rapport qualité prix. Apres a voir sur la duré ce que qa donne."
Samsung,Aliénor,Commenté en France le 26 mars 2020,Achat vérifié,5.0,"Voilà 1 mois que j'ai ce téléphone et je suis conquise. Je me le suis acheté en remplacement de mon Samsung Galaxy J3 2016 et il nettement meilleur. Ce Galaxy A10 est fluide, rapide, la batterie tient bien, les photos sont de bonnes qualités même quand il y a peu de lumière, ... J'aime vraiment tout dans ce téléphone. Si vous voulez un bon téléphone à pas trop cher, je vous le recommande vivement."
Samsung,Christian VINCQ,Commenté en France le 25 mars 2020,Achat vérifié,1.0,Je viens d'ouvrir mon colis et aucune notice d'installation dans la boîte. Je m'interroge donc ... N'est ce pas un tel. Reconditionné ? Vu le contexte je ne peux pas vous renvoyer le colis ????
Samsung,Gégé,Commenté en France le 25 mars 2020,Achat vérifié,5.0,"Ce téléphone est parfait pour moi, simple d'utilisation et très bon rapport qualité prix."
Samsung,Wagne ahmadou,Commenté en France le 25 mars 2020,Achat vérifié,4.0,Merci
Samsung,vaque,Commenté en France le 23 mars 2020,Achat vérifié,5.0,"Acheter pour une collègue de travail qui ne comprend rien au téléphone, très simple d’utilisation et agréable en main je recommande"
Samsung,Rofa,Commenté en France le 23 mars 2020,Achat vérifié,5.0,Il est magnifique  un peu grand mais léger jai reçu la semaine passé mais jai pas essayé
Samsung,kevin,Commenté en France le 23 mars 2020,Achat vérifié,5.0,"Plutôt qu'une tablette, j'ai pris ce samsung a10 pour ma fille comme instrument de jeu et pas comme téléphone.Il est super. Ecran fluide, simplicité d'utilisation et surtout LE MODE ENFANT SAMSUNG qui - lui contrairement aux autres - bloque vraiment l'accès au téléphone par lui même.Et, certes plus petit, mais loins lourd et moins cher pour un enfant."
Samsung,NEYRAUD,Commenté en France le 22 mars 2020,Achat vérifié,5.0,RAS
Samsung,Ahlaloum,Commenté en France le 22 mars 2020,Achat vérifié,2.0,Dommage que les 32go est sur carte sd et non on interne
Samsung,youssef houiti,Commenté en France le 21 mars 2020,Achat vérifié,5.0,Tres bon rapport qualité/ prix
Samsung,alex,Commenté en France le 21 mars 2020,Achat vérifié,5.0,Excellent rapport qualité prixUtilisation facile et produit au top
Samsung,Noblanc Patrick,Commenté en France le 21 mars 2020,Achat vérifié,4.0,Bon produit
Samsung,laurent dorel,Commenté en France le 21 mars 2020,Achat vérifié,5.0,Nickel
Samsung,ZAYATH stephane,Commenté en France le 21 mars 2020,Achat vérifié,1.0,Je conseille pas ce tel. Pour 140 euros on a beaucoup mieux chez d'autres . Je regrette un peu que Samsung qui sont juste parmi les plus gros fabriquant ai sorti un tel comme celui-ci pour ce prix. A 100 euros ok plus non je vous conseille pas.
Samsung,Client d'Amazon,Commenté en France le 20 mars 2020,Achat vérifié,5.0,Très bien
Samsung,Toussaint didier,Commenté en France le 20 mars 2020,Achat vérifié,5.0,Simple efficace rapide bref que du bon
Samsung,Gregory MICHELOTTI,Commenté en France le 20 mars 2020,Achat vérifié,5.0,Utilisation personnelle
Samsung,TOUNKARA,Commenté en France le 19 mars 2020,Achat vérifié,5.0,Bon Samsung
Samsung,Dominique F.,Commenté en France le 14 mars 2020,Achat vérifié,5.0,"achat telephone de secours suite casse : excellent produit prise en main facile  fait le job ,  prix imbattable sur Amazon, on verra à l'usage la durabilité , vous pouvez acheter sans risque"
Samsung,boukil,Commenté en France le 14 mars 2020,Achat vérifié,5.0,Très bien
Samsung,helene FRIAS GOMES,Commenté en France le 14 mars 2020,Achat vérifié,5.0,"Envoi rapide, telephone simple d utilisation"
Samsung,Client d'Amazon,Commenté en France le 14 mars 2020,Achat vérifié,5.0,"Téléphone très fonctionnel, léger, et tout à petit prix.  Je recommande."
Samsung,Bondu007,Commenté en France le 14 mars 2020,Achat vérifié,4.0,Bon produit
Samsung,Aurore,Commenté en France le 13 mars 2020,Achat vérifié,5.0,Excellent rapport qualité prix
Samsung,Laeti,Commenté en France le 12 mars 2020,Achat vérifié,4.0,Très bien
Samsung,CDSET,Commenté en France le 12 mars 2020,Achat vérifié,5.0,"Bon téléphone, complet, livré avec carte 32G.Modèle un peu grand pour une poche."
Samsung,FONTAINE,Commenté en France le 11 mars 2020,Achat vérifié,5.0,Très facile d'utilisation.
Samsung,Jean Pierre Vaillant,Commenté en France le 11 mars 2020,Achat vérifié,4.0,Emballage et livraison très satisfaisant et bien adapté au produit.
Samsung,zappattini gilles,Commenté en France le 11 mars 2020,Achat vérifié,4.0,"Bien,Fais ce qu on lui demande ,c est un Samsung qui !"
Samsung,Guadabelge,Commenté en France le 11 mars 2020,Achat vérifié,5.0,Contente de mon portable arrivé bien emballé. Merci
Samsung,groux,Commenté en France le 10 mars 2020,Achat vérifié,5.0,Super simples
Samsung,stella hider,Commenté en France le 9 mars 2020,Achat vérifié,5.0,Mon Alexandre est très heureux de son nouveau compagnon
Samsung,MARCHAL CAROLE,Commenté en France le 9 mars 2020,Achat vérifié,5.0,PArfait
Samsung,rene pilarczyk,Commenté en France le 9 mars 2020,Achat vérifié,4.0,Pas beaucoup de recul
Samsung,Kikacha,Commenté en France le 9 mars 2020,Achat vérifié,5.0,"Suite à un vol j'ai du acheter en urgence un téléphone de remplacement. Acheté le matin, reçu le soir même ! Livraison rapide, rapport qualité/prix super.De la place pour 2 sim et une carte mémoire. L'écran est plus grand que mon Galaxy S10, la qualité des photos est plus que correcte. Je recommande ce produit."
Samsung,didier,Commenté en France le 8 mars 2020,Achat vérifié,5.0,"Bon téléphone facile d'utilisation,prix correct."
Samsung,Saillant,Commenté en France le 8 mars 2020,Achat vérifié,5.0,Très bien emballé et neuf ! Aucun problème avec le téléphone ! Un très bon rapport qualité prix.
Samsung,Client d'Amazon,Commenté en France le 7 mars 2020,Achat vérifié,4.0,Téléphone abordable mais de qualité. La photo n'est pas son point fort.
Samsung,Evelyne Orsolani,Commenté en France le 7 mars 2020,Achat vérifié,5.0,J'aime la fonctionnalite
Samsung,Menthalot,Commenté en France le 7 mars 2020,Achat vérifié,5.0,Nous recherchions un smartphone pratique et simple avec un niveau de performance correct... Cet article repond à nos critères
Samsung,claude luzu,Commenté en France le 7 mars 2020,Achat vérifié,5.0,"mise à jour à faire , produit venant d'italie  . rien de grave le corona virus n'était pas dessus . enfin j'espère ."
Samsung,Client d'Amazon,Commenté en France le 7 mars 2020,Achat vérifié,4.0,"Tres bon telephone , une belle prise en main, un demarrage assez lent, difficulté pour mettre en place le WIFI et j'en passe.. Apres pour ce prix là on peut pas tout avoir"
Samsung,Client d'Amazon,Commenté en France le 7 mars 2020,Achat vérifié,4.0,"Bien , livré rapidement, satisfait"
Samsung,Bernadette Gauchon,Commenté en France le 7 mars 2020,Achat vérifié,1.0,Ne tiens pas la batterie. Se decharge avant d avoir terminé de se charger
Samsung,Pascale Nottellet,Commenté en France le 6 mars 2020,Achat vérifié,5.0,Super produit
Samsung,rosiani pedro,Commenté en France le 5 mars 2020,Achat vérifié,4.0,"Téléphone portable fonctionne parfaitement, je suis contente"
Samsung,CELALB M,Commenté en France le 5 mars 2020,Achat vérifié,2.0,trop fragile
Samsung,Rosymadder ,Commenté en France le 5 mars 2020,Achat vérifié,5.0,"Vendeur sérieux, le produit correspond à la description (taille, référence, état général), la livraison a été réalisée dans les temps. L'écran du téléphone est très grand, très lumineux, parfait pour les  contenus multimédias (attention aux mains de petite taille toutefois, le téléphone est vraiment large)"
Samsung,laudel,Commenté en France le 5 mars 2020,Achat vérifié,4.0,Chaque fois ou mes pare me gronde
Samsung,David RIEHL,Commenté en France le 4 mars 2020,Achat vérifié,4.0,Globalement j'en suis contente.Un petit bémol sur la rotation automatique de l'écran qui est dysfonctionnelle.
Samsung,CalispoSansan,Commenté en France le 4 mars 2020, ? ,5.0,"Acheter chez Leclerc le 3 3 20 , , en double sim à 154 euros , très satisfaite du produit , je recommande vivement !"
Samsung,boubette boubette,Commenté en France le 4 mars 2020,Achat vérifié,4.0,"Il s'agissait d'un cadeau, et la personne est ravie!! Même moi qui ai un S5, trouve celui ci bien plus performant, attrayant  avec des trucs sympas qui n'existent pas sur le S5! Bon choix et beaucoup moins cher!"
Samsung,Tintin ,Commenté en France le 3 mars 2020,Achat vérifié,5.0,Cool bien
Samsung,Client d'Amazon,Commenté en France le 3 mars 2020,Achat vérifié,5.0,Impeccable
Samsung,Sophie,Commenté en France le 3 mars 2020,Achat vérifié,3.0,"A la réception du produit, l'étiquette garantissant que la boîte n'a pas été ouverte était décollée...bon à l'ouverture tout était bien présent et dans un état neuf.Par contre le téléphone était pré-installée en hongrois!!Alors sauf si on parle le hongrois couramment il m'a été très compliqué d'arriver et de trouver le sous-menu permettant de changer la langue...!!!Merci à la traduction Google!!A part ça bon produit pour cette gamme de prix!!"
Samsung,seraphange,Commenté en France le 3 mars 2020,Achat vérifié,4.0,"Reçu le téléphone a la date prévue, facile d'utilisation, remplace facilement mon ancien téléphone, qualité prix sont au rendez-vous. Je le conseille aux petits budgets."
Samsung,Mouzinga,Commenté en France le 2 mars 2020,Achat vérifié,4.0,Top!
Samsung,pelletier joelle,Commenté en France le 2 mars 2020,Achat vérifié,5.0,anniversaire
Samsung,Pamela garchette,Commenté en France le 2 mars 2020,Achat vérifié,5.0,Bin rapport qualité prix
Samsung,Katarzyna M.,Commenté en France le 2 mars 2020,Achat vérifié,5.0,1
Samsung,Pampyléo,Commenté en France le 2 mars 2020,Achat vérifié,5.0,Peut-être pas le très haut de gamme mais très fonctionnel rapide clair et facile d'emploi pour un senior. Très bon produit et largement suffisant. Et surtout un produit neuf. Je conseille.
Samsung,fatmi,Commenté en France le 1 mars 2020,Achat vérifié,3.0,Beug
Samsung,abhilil hamid,Commenté en France le 1 mars 2020,Achat vérifié,5.0,Ras
Samsung,Daniel ,Commenté en France le 1 mars 2020,Achat vérifié,5.0,Parfait
Samsung,Pierre benoi,Commenté en France le 1 mars 2020,Achat vérifié,4.0,c'est du samsung tres bonne autonomie
Samsung,P@demars,Commenté en France le 1 mars 2020,Achat vérifié,5.0,capacité de stockage jusqu'a 520Go
Samsung,Hani,Commenté en France le 1 mars 2020,Achat vérifié,4.0,"Usage personnel. Tout va bien ! C'était un cadeau pour quelqu'un, il est ravi ! Merci"
Samsung,papillon,Commenté en France le 29 février 2020,Achat vérifié,4.0,Bon produit juste un peu lent au démarrage.Facile à utiliser.
Samsung,bensassi,Commenté en France le 29 février 2020,Achat vérifié,5.0,Conforme
Samsung,Client d'Amazon,Commenté en France le 29 février 2020,Achat vérifié,5.0,Super et superbe
Samsung,Sonia,Commenté en France le 28 février 2020,Achat vérifié,5.0,Très bien mais un peu gros
Samsung,Client d'Amazon,Commenté en France le 28 février 2020,Achat vérifié,5.0,Très bon portable facile d'utilisation et surtout très fonctionnel.Je recommande ce produit.
Samsung,GEGE,Commenté en France le 28 février 2020,Achat vérifié,5.0,Bonjour.  Livraison dans les délais.  Emballage parfait.  Article conforme à la description.Mise en fonctionnement aisée.  Fonctions Google et fonctions Samsung possibles.Temps d'adaptation et analyse des différents services à analyser  .  A suivre donc ......Bonne journée.  Bien à vous.  Cordialement.  Gérard Pliez.
Samsung,nathalie,Commenté en France le 27 février 2020,Achat vérifié,4.0,Pour une amie..qui enfin évolue ds l'apprentissage d'un mobile moderne..il est clair et fonctionnel.
Samsung,capoen,Commenté en France le 27 février 2020,Achat vérifié,5.0,facile d'utilisation
Samsung,arthur martin,Commenté en France le 27 février 2020,Achat vérifié,5.0,Bon téléphone bonne photo. Pas détection empreinte. Batterie ++.
Samsung,Client d'Amazon,Commenté en France le 27 février 2020,Achat vérifié,5.0,Très très bien  👍🏻👍🏻
Samsung,PS,Commenté en France le 26 février 2020,Achat vérifié,5.0,tres bon smartphone pour le prix  le moins chère que j ai trouvé  sur le net il est neuf rien a dir vendeurs sérieux je commanderai chez lui s'en hésité
Samsung,ANNIE RENAUDIN,Commenté en France le 25 février 2020,Achat vérifié,4.0,TRES BIEN  TIENT  BIEN LA CHARGEJUSTE UN PEU  GROS  POUR LE SAISIR  D UNE MAIN
Samsung,Client d'Amazon,Commenté en France le 24 février 2020,Achat vérifié,5.0,"reçu rapidement,  bonne prise en main ,très contente de mon achat ..."
Samsung,Client d'Amazon,Commenté en France le 24 février 2020,Achat vérifié,4.0,Ce téléphone est très bien très facile d'utilisation l.ecran est grand
Samsung,Edery,Commenté en France le 24 février 2020,Achat vérifié,5.0,"Livraison très rapide , sauf que le téléphone arrive programmé en caractère cyrillique.  Alors pour ceux qui comprennent le Slovène ou le Russe ou je ne sais quelle langue c est bien , sauf que cela n est pas mon cas . La solution est simple , le faire démarrer absolument avec une carte Sim et avec la carte 32GB que vous trouverez dans la boite . La première chose que vous demandera alors le tel sera la langue , donc indiquer le Francais ou autre . N esperez pas changer la langue dans le menu cyrillique car celle ci ne pourra être changer qu avec la région,  or la région,  ce sera votre carte sim qui le lui indiquera. Sinon le tel est super , encore plus fin et aussi grand que mon S9 Plus ."
Samsung,sam69,Commenté en France le 24 février 2020, ? ,4.0,Offert pour la famille donc pour l instant satisfait
Samsung,Didane,Commenté en France le 24 février 2020,Achat vérifié,5.0,Très bien
Samsung,Client d'Amazon,Commenté en France le 23 février 2020,Achat vérifié,3.0,"Smartphone acheter pour fais un cadeau. La personne en est très contente vendeur pro, colis soigné envoie rapide et sans incident.Le seul problème viens du portable lui même en effet Samsung n'a pas trouver intéressent d'intégrer un lecteur de musique mit à part Google musique ce qui est relativement dérangeant pour un téléphone de ce prix."
Samsung,Client d'Amazon,Commenté en France le 23 février 2020,Achat vérifié,5.0,Contente de mon achat
Samsung,laurence,Commenté en France le 23 février 2020,Achat vérifié,2.0,Je suis satisfaite. Fonctionne parfaitement (petit bémol parfois le tactile un peu capricieux) sauf que quand on reçoit un message onglet pas très visible mais à part ça ras. JE REVIENS SUR MON COMMENTAIRE À CHAQUE FOIS QUE JE LE METS EN CHARGE IL CRÉE DES ANOMALIES AU NIVEAU DE MA FREEBOX
Samsung,SOPHIE,Commenté en France le 23 février 2020,Achat vérifié,1.0,Le colis est arrivé impeccable avec l'emballage du téléphone et les accessoires..... sans le smartphone.......
Samsung,natalie,Commenté en France le 22 février 2020,Achat vérifié,5.0,"Bon smartphone, seul problème je l'ai commandé couleur noire et je l'ai reçu couleur bleu, très embêtant mais malheureusement pas le choix je l'ai gardé car je ne pouvais plus me permettre de rester à nouveau quelques jours sans téléphone"
Samsung,Jean Baptiste Rossi,Commenté en France le 22 février 2020,Achat vérifié,4.0,"Ce smartphone répond aux besoins essentiels pour tout ce qui est navigation sur le net. Je ne mets pas 5 étoiles car à peine acheter, le prix a baissé de 9 euros ( un peu les boules :)"
Samsung,soukouna,Commenté en France le 21 février 2020,Achat vérifié,3.0,Jolie portable
Samsung,frédéric,Commenté en France le 21 février 2020,Achat vérifié,5.0,"appareil tip top, bon au départ notice en espagnol, mais pas trop important , on a la notice d'utilisation sur internet et en français: attention quand même il vous faudra demander auprès de votre opérateur une NANO SIM : autre point aussi SIM FREE ne veut pas dire que c'est  l' opérateur téléphonique: cela veut dire libre avec n'importe quel opérateurau départ la mise en route peut paraître un peu longue mais après SUPERBE APPAREIL, facile d'utilisation vous ne serez pas déçu , je l'avais pris pour offrir à un proche mais je pense que je vais changer mon ancien galaxy par celui là"
Samsung,Veronique gillardin,Commenté en France le 21 février 2020,Achat vérifié,4.0,Ma fille est très contente de son téléphone
Samsung,JENVRIN Mathieu,Commenté en France le 21 février 2020,Achat vérifié,5.0,nickel !
Samsung,Ernico,Commenté en France le 20 février 2020,Achat vérifié,5.0,Smartphone facile à prendre en main. L'ensemble n'est pas exceptionnel mais conforme à ce que je pensais trouver pour le prix. Je suis très satisfait de mon achat.
Samsung,thierry,Commenté en France le 19 février 2020,Achat vérifié,5.0,très bon produit conforme à ce que j'attendais.
Samsung,Patrick Corbiere,Commenté en France le 19 février 2020,Achat vérifié,5.0,Très bon téléphone
Samsung,thomas belloubet,Commenté en France le 19 février 2020,Achat vérifié,4.0,Ma nièce avait le meme et pour ma fille il va très bien
Samsung,Client d'Amazon,Commenté en France le 19 février 2020,Achat vérifié,5.0,Très bien conforme à la description.Cadeau pour mon fils de 13 ans qui le trouve top.
Samsung,Client Amazon ,Commenté en France le 18 février 2020,Achat vérifié,5.0,Très bon rapport qualité/prix car le même téléphone dans d'autres enseignes est au prix d'environs 155€ (25€ de plus). De plus qu'une carte SD de 32 gigas est incluse. 👍
Samsung,Client d'Amazon,Commenté en France le 18 février 2020,Achat vérifié,5.0,Excellent produit.
